id	filename	md5	size	state
b1af4859-1fe1-440b-b67a-4a14b4ba7b8c	TCGA-K7-A6G5-01Z-00-DX1.6681DB17-D11D-40DE-829C-2DB425BD3083.svs	db82df48a03463b32c39c4abeb8c9a41	2140602604	released
46a61ffd-07ae-4500-8afc-b5f8cd9c92d9	TCGA-DD-A4NF-01Z-00-DX1.A876C169-BA5A-4ACF-A6F1-5B0558CE0392.svs	bbc0219381bcd3b2a3dca172d3c5efbf	1784425692	released
74a1bac8-c2a5-43e5-b3c0-96c44488b572	TCGA-G3-A5SI-01Z-00-DX1.B9F9513E-0585-48A5-B698-6084A1FC7A3B.svs	5ce86eb3e8272854811541d5c1a31cff	2771683811	released
2f3a1968-29b4-43b5-9b0b-7b9b7361481f	TCGA-DD-A73C-01Z-00-DX2.616264EE-93CE-4E2F-A4DA-1CD3663A4F3C.svs	e8f914d6cfcecaf7eb1e7da74dffba36	2076996398	released
896a5022-7df9-4cdc-894d-df2cdb3f9805	TCGA-A5-A0GW-01Z-00-DX1.9EBB53E3-F9D5-4143-987A-332F7EECFE11.svs	6b253ba6bd0b51c96e801be42c0efd85	1324409189	released
bad9e17a-6e35-482f-ba9e-2d5eb9a01e37	TCGA-EC-A1QX-01Z-00-DX1.D94B9C3B-F06F-4300-B492-E2534AF4D703.svs	30324efec18e0e7b0c49b2566c785098	1205613871	released
8e51a543-9708-4e85-91c7-d393fd4d68d5	TCGA-AP-A1E4-01Z-00-DX1.3817C6C4-671E-437E-BA74-74095BA71254.svs	f44f019091bd715e47bf9ac649a27e4a	352659800	released
9c470075-be14-408e-877d-742e7373090e	TCGA-86-8359-01Z-00-DX1.11B8FDC3-4B84-4A22-B89D-46EA76345F13.svs	0b76d19675ec21919d1eb65eebd08424	1127857415	released
80206d89-90a2-4aba-9f53-298d0458890b	TCGA-44-2666-01Z-00-DX1.f81a89cf-6033-47ea-9a43-290a5d6a28c1.svs	1836d610f457c0b7c729775bff8ddf6d	370837457	released
cff02d57-3438-47f4-9e9a-08130bf36978	TCGA-49-4505-01Z-00-DX2.48df81e7-5a8e-4c5b-993a-6a54481a35e9.svs	c5a154ddec52ea2fb6fd9e8a86014af0	932593583	released
96ea76a6-4533-45cd-a05f-daed884c5e6e	TCGA-49-4490-01Z-00-DX5.feea87ff-61c6-465e-8b36-4803f6af3d62.svs	7504d2d390f17863bca42199809fcba0	854794893	released
c8337be3-1b54-4d06-8d5a-b3c27461e681	TCGA-38-4627-01Z-00-DX1.fe406eb9-b38b-410d-aa1a-84ab8ac091c7.svs	9494095f4be0cefac563e30da3ad4e0a	702186931	released
66fab868-0b7e-4eb1-885f-6c62d1e80936	TCGA-J8-A3YE-01Z-00-DX1.83286B2F-6D9C-4C11-8224-24D86BF517FA.svs	c5ebd855379cb5210e57fe03fb21d56b	956217239	released
5874977e-b1c2-428c-bfed-0101f22cf3c7	TCGA-EL-A3N2-01Z-00-DX1.BB63A917-16BC-40C5-B440-1EB272648188.svs	cf2b794913ced8a289dd0f8130c574fe	1884318211	released
ab44ffde-a741-4f30-a3f2-30a0413efd29	TCGA-ET-A3BO-01Z-00-DX1.4A864B23-7323-4009-BF35-34E3BA399138.svs	1e55d80d2e6c9f52acb0470c3571a5a5	1841639627	released
c2faed09-e7b6-4327-a973-2916f1c056eb	TCGA-D3-A51F-06Z-00-DX1.ACABF227-3D3C-4490-A075-7D711BB34675.svs	fac6742d4b837fcd1a97a1148f8cbb7c	874246182	released
e07bd37c-5989-4200-8f48-a963fdb52539	TCGA-D3-A5GR-06Z-00-DX1.5621C88A-0C9E-47D9-8458-A473B7BD28B7.svs	1ab744ec6044472d254622e071db5be6	1035502448	released
88d55bd0-cb4b-4e69-b33d-7c50c7b498c0	TCGA-EE-A29P-01Z-00-DX1.E4E718E1-C5C3-477E-8073-F30C4D0A52C3.svs	8a59755b450fc97acc2ab28cc238894a	2064643273	released
5c9ee7bf-60af-48c0-9a61-8584c39cba1f	TCGA-D3-A5GL-06Z-00-DX1.94EB7EB4-7906-4D03-BBF3-D25BD7517D91.svs	6e579fffba0ccacf07a5f140d4caa805	700070460	released
2932246f-e138-4df4-a9aa-9c519525def1	TCGA-EJ-5495-01Z-00-DX1.0db6207b-4cc6-463c-8b9e-6bd6f67b7b62.svs	5b0fa9eb974ce205f6e70b45f83d0df2	462525833	released
eab45f20-0cac-43b0-8217-88ae579fa81d	TCGA-G9-6348-01Z-00-DX1.4c009944-287c-4025-b47c-75404e927d78.svs	e99b72144d2a88e445355ab63498a85e	832709111	released
2dacb59c-af40-4955-8682-ec1f92e5d6f9	TCGA-TP-A8TT-01Z-00-DX1.652EA809-D931-46EE-80C9-0551C16DF822.svs	cb9915069ffa8bee072021dddb209947	1343166093	released
d51878bf-e76f-40a4-9391-664163058eb9	TCGA-EJ-7327-01Z-00-DX1.9a14d0f4-ea3c-4b70-9eec-ab399fb72565.svs	a15480d873b9086187fe8e0c909e7e16	949600301	released
04b3b3ec-d9f0-4fe6-853c-50ff29216a6e	TCGA-2A-A8W1-01Z-00-DX1.0CA35481-A243-4722-B3E5-4FB25EC9F6C0.svs	11daf40337dc5cb2ee8900335eda476a	661591057	released
9641222f-aafb-4638-afab-0ea02a2d11e9	TCGA-KK-A7B2-01Z-00-DX1.3E779031-6FE4-4BD0-838C-D9ED49E1B9A7.svs	28d62e895edbc553ec14a23d93fb28d9	439220927	released
8b067d6a-aa8b-4e5e-b8c1-b42ab366b3b7	TCGA-HC-7213-01Z-00-DX1.5b03a3f2-ae77-4906-81b6-e9a5c0c5ed16.svs	a760b26c87beb64fe74e00aef8f5491f	161016381	released
d9ede483-d0be-43d7-bd68-797994690caa	TCGA-HC-8213-01Z-00-DX1.30F3004A-B2F4-42E6-A887-8C219617778E.svs	c6576a5d2f8611001d25547c072e6ab7	500988454	released
584788e9-53b3-4fcd-84c6-04e9a7f0ed68	TCGA-CH-5738-01Z-00-DX1.fcb841b3-9257-48a4-b175-26df4227b0ce.svs	43e91afce49f5765c0fe67c02dc2e846	114230635	released
765b6bd0-643d-4b39-b6b5-379d9183c14b	TCGA-HC-A48F-01Z-00-DX1.F19F2A8B-7493-420D-8B40-D2C78F6E6184.svs	cee1a3de418e6762026910054d1d1086	126605148	released
8eaae436-7557-48fa-afa1-4e1552d33301	TCGA-KK-A6E1-01Z-00-DX1.83E2D047-9152-4CD5-A5C2-EC6606F2D4EF.svs	dbe749f2e7d26e6572bb5a38af942ce7	797106189	released
3cec90b6-6697-40cd-bdaa-f2a9b26b7ca2	TCGA-BJ-A0YZ-01Z-00-DX1.FFDC24FB-D8A1-40F8-89CD-DDB0ED010870.svs	850dd931620426d46ea9aee1c56c154b	1366220813	released
fbaaa237-40ee-458a-87f2-a9c6e521eb0b	TCGA-44-3919-01Z-00-DX1.41144972-46a1-4b25-9faa-ed1b9d1996d2.svs	f278b0218336a63a9e3b9d3fc4f04619	86453321	released
44c329b6-e903-4a5b-970e-a5b33b400521	TCGA-KK-A5A1-01Z-00-DX1.E2FB5324-5471-424D-95DB-AFB8736D237C.svs	26419c4a6f355a9d5cae557395ec5aa9	599951765	released
8d1e6b3c-273d-4b32-91d3-d1ceaf891301	TCGA-EJ-A46H-01Z-00-DX1.0E60D106-3766-49A8-B1D8-9BB216F06B2B.svs	47b4807b3bfeee551429f1b1f31ff5c3	1633368761	released
17891c80-ce61-47df-b00b-3119b05ff965	TCGA-YL-A8SP-01Z-00-DX1.4F1DBA34-DA6D-4DBA-B765-6720A6DDAA21.svs	53e4a94577caae11ead836a682a0df3e	2541970234	released
05baa980-81f2-418e-a0b7-478a8db7a91f	TCGA-YL-A8S8-01Z-00-DX1.54845009-AA3A-4507-9FB6-5C1D11174997.svs	b2e8cb880519966460b910e98b4b9a7c	3340659732	released
396bc4c2-55df-4dae-a8be-184c4f661c39	TCGA-YL-A8SK-01Z-00-DX1.806C30FC-7C27-46A5-8EF7-BBCC5D8738DC.svs	61f14f0f36782c37a9d6920450afe199	1517988516	released
613e9f4c-86b4-4b03-a8f2-363f65f2b14a	TCGA-KK-A8I9-01Z-00-DX1.8DD81B98-3C5B-4F54-A1E9-0966E12205E3.svs	73923b32a2d96804da2695b0d521c215	459934965	released
5fa2e612-c8d4-4e24-91d1-79a124791f95	TCGA-HW-8319-01Z-00-DX1.DB3012DE-00C2-4425-B3E4-6F5FF19CE290.svs	d58ccf23d863649eaca1a72175dd750e	1466331329	released
27b9a63f-7b69-4bc3-bd55-3f01a1322d24	TCGA-HT-7690-01Z-00-DX3.B310C337-0508-4731-A307-5BA379676132.svs	a590003a8eafadbc330d944a912a4be5	821152967	released
09393db4-23f3-41a8-8458-f848951cb714	TCGA-HT-7608-01Z-00-DX6.90E11B10-2543-4534-8523-F15EA688C729.svs	de928a86dbdd086324fe28a071658496	1999274779	released
